iter	Passed	Remaining
558	17248	13607
559	17290	13585
560	17320	13553
561	17348	13520
562	17380	13490
563	17412	13460
564	17445	13431
565	17479	13402
566	17510	13371
567	17539	13340
568	17575	13313
569	17606	13282
570	17633	13248
571	17664	13217
572	17696	13187
573	17726	13155
574	17756	13124
575	17783	13090
576	17811	13057
577	17842	13027
578	17873	12996
579	17906	12966
580	17935	12934
581	17965	12903
582	17997	12873
583	18027	12841
584	18055	12808
585	18085	12776
586	18116	12746
587	18145	12714
588	18178	12684
589	18212	12656
590	18241	12624
591	18272	12593
592	18306	12564
593	18339	12534
594	18372	12505
595	18408	12478
596	18436	12445
597	18468	12415
598	18498	12383
599	18526	12351
600	18558	12321
601	18592	12291
602	18621	12259
603	18651	12228
604	18680	12196
605	18712	12166
606	18740	12133
607	18773	12103
608	18806	12074
609	18837	12043
610	18868	12013
611	18901	11983
612	18930	11951
613	18963	11921
614	18998	11893
615	19026	11860
616	19058	11830
617	19091	11801
618	19125	11771
619	19161	11744
620	19192	11713
621	19223	11682
622	19255	11651
623	19289	11623
624	19321	11593
625	19352	11561
626	19379	11528
627	19415	11500
628	19444	11468
629	19475	11437
630	19508	11408
631	19538	11376
632	19568	11345
633	19603	11316
634	19638	11288
635	19668	11256
636	19697	11224
637	19725	11191
638	19756	11161
639	19786	11130
640	19819	11100
641	19851	11069
642	19884	11040
643	19913	11008
644	19942	10975
645	19972	10944
646	20003	10914
647	20033	10882
648	20063	10850
649	20093	10819
650	20122	10787
651	20151	10755
652	20186	10726
653	20217	10696
654	20250	10666
655	20281	10635
656	20312	10604
657	20339	10571
658	20369	10540
659	20400	10509
660	20429	10477
661	20459	10446
662	20490	10415
663	20518	10383
664	20552	10353
665	20586	10324
666	20619	10294
667	20649	10262
668	20677	10230
669	20706	10198
670	20738	10168
671	20768	10137
672	20807	10110
673	20842	10081
674	20883	10054
675	20920	10026
676	20956	9998
677	20991	9969
678	21028	9941
679	21065	9913
680	21097	9882
681	21125	9850
682	21155	9819
683	21187	9788
684	21216	9756
685	21246	9725
686	21273	9692
687	21363	9688
688	21399	9659
689	21431	9628
690	21463	9597
691	21493	9566
692	21522	9534
693	21552	9502
694	21586	9473
695	21616	9441
696	21645	9409
697	21674	9377
698	21703	9345
699	21734	9314
700	21765	9283
701	21797	9253
702	21824	9220
703	21854	9188
704	21888	9158
705	21920	9128
706	21950	9096
707	21983	9066
708	22015	9035
709	22045	9004
710	22082	8975
711	22110	8943
712	22144	8913
713	22177	8883
714	22206	8851
715	22236	8819
716	22265	8788
717	22296	8757
718	22325	8725
719	22353	8692
720	22390	8664
721	22418	8632
722	22448	8600
723	22480	8569
724	22511	8539
725	22543	8508
726	22571	8475
727	22602	8444
728	22631	8413
729	22661	8381
730	22689	8349
731	22718	8317
732	22748	8286
733	22781	8255
734	22811	8224
735	22843	8193
736	22874	8162
737	22908	8132
738	22943	8103
739	22975	8072
740	23009	8042
741	23043	8012
742	23075	7981
743	23107	7951
744	23139	7920
745	23172	7889
746	23204	7859
747	23234	7827
748	23266	7797
749	23299	7766
750	23329	7735
751	23358	7703
752	23387	7671
753	23415	7639
754	23448	7609
755	23482	7578
756	23511	7547
757	23542	7516
758	23573	7485
759	23605	7454
760	23634	7422
761	23663	7391
762	23697	7360
763	23727	7329
764	23760	7298
765	23787	7266
766	23820	7236
767	23848	7204
768	23875	7172
769	23907	7141
770	23935	7109
771	23968	7078
772	24006	7049
773	24033	7017
774	24064	6986
775	24096	6955
776	24129	6925
777	24159	6893
778	24193	6863
779	24225	6832
780	24255	6801
781	24287	6770
782	24323	6741
783	24352	6709
784	24379	6677
785	24410	6646
786	24438	6614
787	24474	6584
788	24506	6553
789	24540	6523
790	24572	6492
791	24605	6462
792	24637	6431
793	24665	6399
794	24695	6367
795	24725	6336
796	24754	6304
797	24786	6274
798	24820	6244
799	24853	6213
800	24882	6181
801	24915	6151
802	24944	6119
803	24977	6089
804	25009	6058
805	25038	6026
806	25073	5996
807	25101	5964
808	25130	5933
809	25162	5902
810	25193	5871
811	25225	5840
812	25255	5809
813	25286	5778
814	25319	5747
815	25346	5715
816	25378	5684
817	25412	5654
818	25442	5622
819	25473	5591
820	25506	5561
821	25536	5529
822	25565	5498
823	25595	5466
824	25625	5435
825	25654	5404
826	25686	5373
827	25720	5342
828	25752	5312
829	25785	5281
830	25812	5249
831	25840	5217
832	25871	5186
833	25903	5155
834	25932	5124
835	25960	5092
836	25994	5062
837	26023	5030
838	26054	4999
839	26083	4968
840	26114	4937
841	26143	4905
842	26173	4874
843	26206	4843
844	26238	4812
845	26270	4782
846	26302	4751
847	26334	4720
848	26363	4688
849	26393	4657
850	26426	4626
851	26457	4595
852	26488	4564
853	26518	4533
854	26550	4502
855	26582	4471
856	26616	4441
857	26644	4409
858	26674	4378
859	26709	4347
860	26736	4316
861	26766	4285
862	26799	4254
863	26831	4223
864	26863	4192
865	26895	4161
866	26927	4130
867	26956	4099
868	26988	4068
869	27018	4037
870	27049	4006
871	27080	3975
872	27109	3943
873	27139	3912
874	27173	3881
875	27205	3850
876	27236	3819
877	27265	3788
878	27298	3757
879	27329	3726
880	27362	3695
881	27390	3664
882	27418	3633
883	27450	3602
884	27485	3571
885	27513	3540
886	27542	3508
887	27573	3477
888	27604	3446
889	27636	3415
890	27671	3385
891	27705	3354
892	27735	3323
893	27766	3292
894	27796	3261
895	27825	3229
896	27854	3198
897	27888	3167
898	27919	3136
899	27950	3105
900	27980	3074
901	28015	3043
902	28046	3012
903	28078	2981
904	28109	2950
905	28139	2919
906	28171	2888
907	28202	2857
908	28232	2826
909	28263	2795
910	28296	2764
911	28328	2733
912	28357	2702
913	28389	2671
914	28420	2640
915	28451	2609
916	28484	2578
917	28514	2547
918	28544	2515
919	28580	2485
920	28613	2454
921	28643	2423
922	28672	2391
923	28707	2361
924	28736	2330
925	28768	2298
926	28796	2267
927	28826	2236
928	28859	2205
929	28891	2174
930	28918	2143
931	28948	2112
932	28980	2081
933	29011	2050
934	29041	2018
935	29070	1987
936	29102	1956
937	29133	1925
938	29164	1894
939	29198	1863
940	29229	1832
941	29261	1801
942	29292	1770
943	29319	1739
944	29349	1708
945	29384	1677
946	29415	1646
947	29446	1615
948	29480	1584
949	29511	1553
950	29542	1522
951	29570	1490
952	29600	1459
953	29631	1428
954	29660	1397
955	29693	1366
956	29724	1335
957	29756	1304
958	29790	1273
959	29823	1242
960	29854	1211
961	29887	1180
962	29914	1149
963	29945	1118
964	29979	1087
965	30009	1056
966	30039	1025
967	30068	993
968	30098	962
969	30129	931
970	30161	900
971	30195	869
972	30224	838
973	30255	807
974	30283	776
975	30314	745
976	30346	714
977	30377	683
978	30408	652
979	30439	621
980	30469	590
981	30501	559
982	30530	527
983	30561	496
984	30591	465
985	30622	434
986	30653	403
987	30684	372
988	30711	341
989	30742	310
990	30772	279
991	30804	248
992	30832	217
993	30862	186
994	30897	155
995	30928	124
996	30958	93
997	30993	62
998	31024	31
999	31054	0
